# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	1.316345e+02	4.542574e+02	-3.341283e-01	1.314674e+02	-1.318015e+02
1             	8.487546e+04	3.634519e+04	-1.447896e+02	8.480307e+04	-8.494786e+04
2             	1.144647e+05	3.540663e+04	-2.539080e+02	1.143378e+05	-1.145917e+05
3             	8.507870e+04	2.927442e+04	-2.091341e+02	8.497413e+04	-8.518327e+04
4             	3.793090e+04	2.755842e+04	-1.103564e+02	3.787572e+04	-3.798607e+04
5             	-8.559343e+03	2.669459e+04	2.076895e+01	-8.548959e+03	8.569728e+03
6             	-1.686872e+04	2.530996e+04	2.204451e+01	-1.685770e+04	1.687974e+04
7             	-3.642538e+04	2.344756e+04	8.983603e+01	-3.638046e+04	3.647030e+04
8             	-5.476043e+04	2.137860e+04	1.215368e+02	-5.469966e+04	5.482120e+04
9             	-9.830242e+04	1.913484e+04	2.153513e+02	-9.819474e+04	9.841010e+04
10            	-1.425068e+05	1.695203e+04	3.216572e+02	-1.423460e+05	1.426676e+05
11            	-1.571209e+05	1.494582e+04	3.598424e+02	-1.569410e+05	1.573008e+05
12            	-1.575835e+05	1.326948e+04	3.611252e+02	-1.574030e+05	1.577641e+05
13            	-1.433264e+05	1.189254e+04	3.272837e+02	-1.431628e+05	1.434900e+05
14            	-1.180711e+05	1.082263e+04	2.609754e+02	-1.179406e+05	1.182016e+05
15            	-9.231031e+04	1.007828e+04	1.906208e+02	-9.221500e+04	9.240562e+04
16            	-7.309275e+04	9.612260e+03	1.383599e+02	-7.302357e+04	7.316193e+04
17            	-5.949338e+04	9.299519e+03	1.063456e+02	-5.944021e+04	5.954655e+04
18            	-5.008573e+04	9.067497e+03	8.748675e+01	-5.004198e+04	5.012947e+04
19            	-4.273437e+04	8.882639e+03	7.608682e+01	-4.269632e+04	4.277241e+04
20            	-3.618108e+04	8.753407e+03	6.606981e+01	-3.614805e+04	3.621412e+04
21            	-3.127932e+04	8.642441e+03	5.557556e+01	-3.125153e+04	3.130710e+04
22            	-2.951741e+04	8.541223e+03	5.148009e+01	-2.949167e+04	2.954315e+04
23            	-2.953825e+04	8.468488e+03	5.209433e+01	-2.951221e+04	2.956430e+04
24            	-3.092712e+04	8.385142e+03	5.613162e+01	-3.089905e+04	3.095519e+04
25            	-3.347820e+04	8.300213e+03	6.515078e+01	-3.344562e+04	3.351077e+04
26            	-3.694466e+04	8.237874e+03	7.878654e+01	-3.690527e+04	3.698405e+04
27            	-4.061852e+04	8.196547e+03	9.201922e+01	-4.057251e+04	4.066453e+04
28            	-4.490987e+04	8.171632e+03	1.040137e+02	-4.485787e+04	4.496188e+04
29            	-4.990409e+04	8.156469e+03	1.162852e+02	-4.984595e+04	4.996224e+04
30            	-5.528021e+04	8.142495e+03	1.298438e+02	-5.521528e+04	5.534513e+04
31            	-6.014252e+04	8.129235e+03	1.425519e+02	-6.007124e+04	6.021379e+04
32            	-6.380751e+04	8.116676e+03	1.510352e+02	-6.373200e+04	6.388303e+04
33            	-6.664812e+04	8.100860e+03	1.558374e+02	-6.657020e+04	6.672604e+04
34            	-6.967656e+04	8.083055e+03	1.612208e+02	-6.959595e+04	6.975718e+04
35            	-7.374056e+04	8.065584e+03	1.709980e+02	-7.365506e+04	7.382606e+04
36            	-7.869853e+04	8.050708e+03	1.841150e+02	-7.860647e+04	7.879059e+04
37            	-8.403978e+04	8.035802e+03	1.981309e+02	-8.394071e+04	8.413884e+04
38            	-8.924810e+04	8.021002e+03	2.112603e+02	-8.914247e+04	8.935373e+04
39            	-9.396957e+04	8.008112e+03	2.223093e+02	-9.385841e+04	9.408072e+04
40            	-9.813094e+04	7.997814e+03	2.310004e+02	-9.801544e+04	9.824644e+04
41            	-1.017348e+05	7.994067e+03	2.371366e+02	-1.016162e+05	1.018533e+05
42            	-1.051350e+05	8.003643e+03	2.407525e+02	-1.050146e+05	1.052553e+05
43            	-1.069211e+05	8.020820e+03	2.397786e+02	-1.068012e+05	1.070409e+05
44            	-1.085944e+05	8.044364e+03	2.382217e+02	-1.084753e+05	1.087135e+05
